ID,施設名,施設名フリガナ,施設種別,区・町名,住所,緯度,経度
1171,平針北小学校,ヒラバリキタショウガッコウ,地下式給水栓,名古屋市天白区,平針一丁目501,35.12732709,137.0033084
1172,八事東小学校,ヤゴトヒガシショウガッコウ,地下式給水栓,名古屋市天白区,音聞山1801,35.12819144,136.9688599
1173,旧清須市役所清洲庁舎跡地,キュウキヨスシヤクショキヨスチョウシャアトチ,仮設給水栓,清須市,清洲一丁目6-1,35.21648178,136.8367314
1174,植田東小学校,ウエダヒガシガッコウ,地下式給水栓,名古屋市天白区,植田東三丁目　1003番地の1,35.13071224,136.9954636
1203,守山水処理センター,モリヤマミズショリセンター,仮設給水栓,名古屋市北区,米が瀬町3-1,35.21259009,136.9274643
1264,コミュニティプラザ萱津,コミュニティプラザカヤツ,仮設給水栓,あま市,中萱津法慶寺,35.18822304,136.8434717
1265,志賀公園,シガコウエン,仮設給水栓,名古屋市北区,平手町２丁目,35.2017454,136.9046072
1284,南郊公園,ナンコウコウエン,仮設給水栓,名古屋市港区,七番町,35.11837148,136.8874582
1285,楠公園,クスノキコウエン,仮設給水栓,名古屋市北区,若鶴町,35.23108692,136.9161187
1324,下志段味小学校,シモシダミショウガッコウ,地下式給水栓,名古屋市守山区,桜坂一丁目１５０２番地,35.23953852,137.0185541
1349,豊正中学校,ホウセイチュウガッコウ,地下式給水栓,名古屋市中村区,稲葉地町7丁目1,35.16379969,136.8476266
1350,豊国中学校,トヨクニチュウガッコウ,地下式給水栓,名古屋市中村区,北畑町1丁目８,35.15975853,136.8695841
1351,山王中学校,サンノウチュウガッコウ,地下式給水栓,名古屋市中川区,山王3丁目7-3,35.15034263,136.8904041
1352,高杉中学校,タカスギチュウガッコウ,地下式給水栓,名古屋市中川区,高杉町133,35.12652004,136.8439525
1353,富田中学校,トミダチュウガッコウ,地下式給水栓,名古屋市中川区,東春田2丁目72,35.14237267,136.8166109
1354,千鳥丘中学校,チドリガオカチュウガッコウ,地下式給水栓,名古屋市緑区,鳴海町字山ノ神108,35.09189234,136.9548984
1355,上社中学校,カミヤシロチュウガッコウ,地下式給水栓,名古屋市名東区,社が丘4丁目301,35.17148279,137.0196592
1356,平針中学校,ヒラバリチュウガッコウ,地下式給水栓,名古屋市天白区,中平4丁目701,35.11368928,136.9995247
1364,冨士中学校,フジチュウガッコウ,地下式給水栓,名古屋市東区,東桜一丁目7-1,35.17251233,136.912327
1365,あずま中学校,アズマチュウガッコウ,地下式給水栓,名古屋市東区,筒井一丁目1-1,35.18022259,136.9265133
1366,桜丘中学校,サクラガオカチュウガッコウ,地下式給水栓,名古屋市東区,東大曽根町11-1,35.18761723,136.931972
1367,矢田中学校,ヤダチュウガッコウ,地下式給水栓,名古屋市東区,大幸南一丁目1-23,35.18925435,136.9516588
1368,菊井中学校,キクイチュウガッコウ,地下式給水栓,名古屋市西区,新道一丁目6-33,35.18260932,136.8891607
1369,天神山中学校,テンジンヤマチュウガッコウ,地下式給水栓,名古屋市西区,天神山町4-12,35.19025896,136.8861796
1370,浄心中学校,ジョウシンチュウガッコウ,地下式給水栓,名古屋市西区,児玉一丁目15-12,35.19553319,136.887283
1371,名塚中学校,ナヅカチュウガッコウ,地下式給水栓,名古屋市西区,新福寺町2-1-2,35.20444839,136.884674
1372,山田中学校,ヤマダチュウガッコウ,地下式給水栓,名古屋市西区,八筋町363-1,35.22281048,136.8789323
1373,平田中学校,ヒラタチュウガッコウ,地下式給水栓,名古屋市西区,山木一丁目1,35.22047816,136.8693663
1374,山田東中学校,ヤマダヒガシチュウガッコウ,地下式給水栓,名古屋市西区,宝地町10,35.22235624,136.8913717
1375,沢上中学校,サワカミチュウガッコウ,地下式給水栓,名古屋市熱田区,五本松町4-4,35.13672308,136.9010298
1376,宮中学校,ミヤチュウガッコウ,地下式給水栓,名古屋市熱田区,白鳥一丁目3-46,35.12660575,136.9027876
1377,日比野中学校,ヒビノチュウガッコウ,地下式給水栓,名古屋市熱田区,大宝四丁目2-45,35.12847847,136.8950829
1378,日比野中学校（南校舎）,ヒビノチュウガッコウ　ミナミコウシャ,地下式給水栓,名古屋市熱田区,一番三丁目2-60,35.1270766,136.8939929
1379,笹島小学校・笹島中学校,ササシマショウガッコウ・ササシマチュウガッコウ,地下式給水栓,名古屋市中村区,名駅四丁目19-1,35.17035733,136.8895093
1381,城山中学校,シロヤマチュウガッコウ,地下式給水栓,名古屋市千種区,西崎町1-42,35.1623944,136.958696
1382,今池中学校,イマイケチュウガッコウ,地下式給水栓,名古屋市千種区,今池三丁目19-1,35.16596323,136.93247
1383,猪子石中学校,イノコイシチュウガッコウ,地下式給水栓,名古屋市千種区,千代が丘2-5,35.18267655,136.9835794
1384,千種中学校,チクサチュウガッコウ,地下式給水栓,名古屋市千種区,千代田橋一丁目1-12,35.18892571,136.9675394
1385,千種台中学校,チクサダイチュウガッコウ,地下式給水栓,名古屋市千種区,自由ケ丘3-3-55,35.17745663,136.9686345
1386,若水中学校,ワカミズチュウガッコウ,地下式給水栓,名古屋市千種区,若水二丁目6-1,35.17449699,136.945673
1404,八王子中学校,ハチオウジチュウガッコウ,地下式給水栓,名古屋市北区,清水４丁目４－１,35.19382009,136.9107586
1405,楠中学校,クスノキチュウガッコウ,地下式給水栓,名古屋市北区,楠２丁目９５７,35.22823634,136.9224066
1406,前津中学校,マエヅチュウガッコウ,地下式給水栓,名古屋市中区,大須四丁目８－８８,35.15969767,136.9084931
1407,白山中学校,ハクサンチュウガッコウ,地下式給水栓,名古屋市中区,新栄１丁目１５－５６,35.16732395,136.9186414
1408,丸の内中学校,マルノウチチュウガッコウ,地下式給水栓,名古屋市中区,三の丸１丁目９－２,35.17979798,136.8960446
1409,北山中学校,キタヤマチュウガッコウ,地下式給水栓,名古屋市昭和区,鶴舞３丁目９－２３,35.15230959,136.9220881
1410,川名中学校,カワナチュウガッコウ,地下式給水栓,名古屋市昭和区,楽園町９３,35.14939698,136.9575654
1411,円上中学校,エンジョウチュウガッコウ,地下式給水栓,名古屋市昭和区,滝子町１７－１８,35.14163365,136.9229214
1412,駒方中学校,コマガタチュウガッコウ,地下式給水栓,名古屋市昭和区,駒方町３丁目２３,35.1459183,136.9493485
1413,田光中学校,タコウチュウガッコウ,地下式給水栓,名古屋市瑞穂区,内浜町５－１６,35.11497166,136.9181886
1414,瑞穂ヶ丘中学校,ミズホガオカチュウガッコウ,地下式給水栓,名古屋市瑞穂区,高田町３丁目２８,35.13326848,136.9274184
1415,萩山中学校,ハギヤマチュウガッコウ,地下式給水栓,名古屋市瑞穂区,市丘町１丁目４８,35.11998829,136.9461299
1416,汐路中学校,シオジチュウガッコウ,地下式給水栓,名古屋市瑞穂区,御莨町４－１６,35.13424406,136.9411328
1417,津賀田中学校,ツカタチュウガッコウ,地下式給水栓,名古屋市瑞穂区,津賀田町１丁目３８,35.12509123,136.9301305
1418,一色中学校,イッシキチュウガッコウ,地下式給水栓,名古屋市中川区,一色新町１丁目７０１,35.12920687,136.8317764
1419,八幡中学校,ヤワタチュウガッコウ,地下式給水栓,名古屋市中川区,元中野町２丁目１１,35.13746532,136.8809899
1420,はとり中学校,ハトリチュウガッコウ,地下式給水栓,名古屋市中川区,服部２丁目１７０１,35.14838497,136.8146723
1421,助光中学校,スケミツチュウガッコウ,地下式給水栓,名古屋市中川区,助光３丁目２０１,35.13401536,136.8286818
1422,供米田中学校,クマイデンチュウガッコウ,地下式給水栓,名古屋市中川区,供米田２丁目８０２,35.13611024,136.8128255
1423,港南中学校,コウナンチュウガッコウ,地下式給水栓,名古屋市港区,稲永１丁目４－３９,35.08938011,136.8614351
1424,港北中学校,コウホクチュウガッコウ,地下式給水栓,名古屋市港区,港北町２丁目１,35.10982553,136.8593991
1425,東港中学校,トウコウチュウガッコウ,地下式給水栓,名古屋市港区,港楽１丁目７－１６,35.10577412,136.8856631
1426,南陽中学校,ナンヨウチュウガッコウ,地下式給水栓,名古屋市港区,春田野３丁目１２１,35.11272912,136.8161259
1427,宝神中学校,ホウジンチュウガッコウ,地下式給水栓,名古屋市港区,宝神１丁目７７,35.09438172,136.8524715
1428,当知中学校,トウチチュウガッコウ,地下式給水栓,名古屋市港区,当知１丁目６０８,35.1119274,136.8489812
1429,南陽東中学校,ナンヨウヒガシチュウガッコウ,地下式給水栓,名古屋市港区,西茶屋１丁目３５－２,35.10963017,136.8262337
1430,本城中学校,ホンジョウチュウガッコウ,地下式給水栓,名古屋市南区,鳥山町３丁目１,35.09428962,136.933816
1431,守山北中学校,モリヤマキタチュウガッコウ,地下式給水栓,名古屋市守山区,松坂町１１６－１,35.21570223,136.9788043
1432,鳴海中学校,ナルミチュウガッコウ,地下式給水栓,名古屋市緑区,六田２丁目９６,35.0785272,136.9631667
1433,有松中学校,アリマツチュウガッコウ,地下式給水栓,名古屋市緑区,有松町大字桶狭間高根３９－８３,35.06413914,136.9688857
1435,大高中学校,オオダカチュウガッコウ,地下式給水栓,名古屋市緑区,森の里１丁目１０７,35.06081473,136.9409919
1436,鳴子台中学校,ナルコダイチュウガッコウ,地下式給水栓,名古屋市緑区,鳴子町３丁目４０,35.09946862,136.9684299
1437,神沢中学校,カミサワチュウガッコウ,地下式給水栓,名古屋市緑区,神沢２丁目１２０１,35.09662814,136.9845778
1438,扇台中学校,オウギダイチュウガッコウ,地下式給水栓,名古屋市緑区,徳重１丁目１２０１,35.09068917,136.9987779
1439,神の倉中学校,カミノクラチュウガッコウ,地下式給水栓,名古屋市緑区,白土１２０１,35.10077941,137.0207775
1440,滝ノ水中学校,タキノミズチュウガッコウ,地下式給水栓,名古屋市緑区,滝ノ水３丁目６０２,35.08721986,136.9763638
1441,左京山中学校,サキョウヤマチュウガッコウ,地下式給水栓,名古屋市緑区,左京山１４０７,35.06893488,136.9613959
1442,鎌倉台中学校,カマクラダイチュウガッコウ,地下式給水栓,名古屋市緑区,鎌倉台２丁目４０２,35.07387128,136.9845656
1443,高針台中学校,タカバリダイチュウガッコウ,地下式給水栓,名古屋市名東区,勢子坊３丁目８０１,35.1610091,137.0175404
1444,牧の池中学校,マキノイケチュウガッコウ,地下式給水栓,名古屋市名東区,梅森坂１丁目２５０４,35.14548652,137.0177287
1445,香流中学校,カナレチュウガッコウ,地下式給水栓,名古屋市名東区,猪子石原２丁目１３０１,35.19441944,136.9909226
1446,天白中学校,テンパクチュウガッコウ,地下式給水栓,名古屋市天白区,池場５丁目１０１４,35.11984858,136.9825738
1447,御幸山中学校,ミユキヤマチュウガッコウ,地下式給水栓,名古屋市天白区,御幸山１００１,35.13123758,136.9732079
1448,南天白中学校,ミナミテンパクチュウガッコウ,地下式給水栓,名古屋市天白区,笹原町１０１,35.11288999,136.960907
1449,植田中学校,ウエダチュウガッコウ,地下式給水栓,名古屋市天白区,植田本町１丁目７０２,35.13771549,136.9919011
1450,原中学校,ハラチュウガッコウ,地下式給水栓,名古屋市天白区,原４丁目１９０２－１,35.11996456,136.9942333
1464,猪高中学校,イタカチュウガッコウ,地下式給水栓,名古屋市名東区,丁田町３３,35.17820481,137.0059726
1465,神丘中学校,カミオカチュウガッコウ,地下式給水栓,名古屋市名東区,神丘町１丁目１８,35.15747508,136.9997507
1466,藤森中学校,フジモリチュウガッコウ,地下式給水栓,名古屋市名東区,小池町６６,35.18007325,137.0175748
1484,瑞穂公園（野球場）,ミズホコウエン（ヤキュウジョウ）,仮設給水栓,名古屋市瑞穂区,豊岡通・山下通,35.12514546,136.9414713
1524,笈瀬中学校,オイセチュウガッコウ,地下式給水栓,名古屋市中村区,佐古前町5-4,35.1796807,136.870966
1525,志段味中学校,シダミチュウガッコウ,地下式給水栓,名古屋市守山区,下志段味一丁目１３０９番地,35.24422491,137.0199065
1526,森孝中学校,モリタカチュウガッコウ,地下式給水栓,名古屋市守山区,四軒家二丁目405,35.19264745,137.0135629
1604,南光中学校,ナンコウチュウガッコウ,地下式給水栓,名古屋市南区,浜田町４丁目１１９,35.08730496,136.9253471
1624,北中学校,キタチュウガッコウ,地下式給水栓,名古屋市北区,中味鋺２丁目６５６,35.22045084,136.9239212
1625,大曽根中学校,オオゾネチュウガッコウ,地下式給水栓,名古屋市北区,上飯田東町２－１００,35.20538195,136.936948
1626,若葉中学校,ワカバチュウガッコウ,地下式給水栓,名古屋市北区,石園町２丁目１６,35.19514329,136.9269262
1627,北陵中学校,ホクリョウチュウガッコウ,地下式給水栓,名古屋市北区,志賀町２丁目１２,35.20047863,136.9125172
1628,志賀中学校,シガチュウガッコウ,地下式給水栓,名古屋市北区,中丸町3丁目2-1,35.20536921,136.9042192
1629,黄金中学校,コガネチュウガッコウ,地下式給水栓,名古屋市中村区,権現通4-28,35.16355878,136.8707517
1630,御田中学校,ミタチュウガッコウ,地下式給水栓,名古屋市中村区,岩塚町２丁目１０,35.15599407,136.8497766
1631,日比津中学校,ヒビツチュウガッコウ,地下式給水栓,名古屋市中村区,高道町2-2-36,35.18203571,136.8637485
1632,伊勢山中学校,イセヤマチュウガッコウ,地下式給水栓,名古屋市中区,正木三丁目２－２１,35.14770355,136.8964191
1633,一柳中学校,イチヤナギチュウガッコウ,地下式給水栓,名古屋市中川区,中郷四丁目235,35.13455755,136.848316
1634,長良中学校,ナガラチュウガッコウ,地下式給水栓,名古屋市中川区,大畑町1-3-1,35.13316373,136.8663316
1635,昭和橋中学校,ショウワバシチュウガッコウ,地下式給水栓,名古屋市中川区,八剱町1-9,35.12616315,136.8828069
1636,港明中学校,コウメイチュウガッコウ,地下式給水栓,名古屋市港区,港明一丁目1-38,35.11098935,136.8913223
1637,明豊中学校,メイホウチュウガッコウ,地下式給水栓,名古屋市南区,豊二丁目３９番３号,35.10951316,136.9150095
1638,新郊中学校,シンコウチュウガッコウ,地下式給水栓,名古屋市南区,呼続四丁目４番８号,35.10775895,136.9311005
1639,桜田中学校,サクラダチュウガッコウ,地下式給水栓,名古屋市南区,中江一丁目４番５２号,35.10637899,136.9447928
1640,大江中学校,オオエチュウガッコウ,地下式給水栓,名古屋市南区,道徳新町5-48,35.10301767,136.9087427
1641,名南中学校,メイナンチュウガッコウ,地下式給水栓,名古屋市南区,三吉町5-43,35.07191635,136.9180272
1642,大森中学校,オオモリチュウガッコウ,地下式給水栓,名古屋市守山区,大森一丁目2601番地,35.20291685,136.9947596
1643,守山東中学校,モリヤマヒガシチュウガッコウ,地下式給水栓,名古屋市守山区,小幡五丁目7-3番地,35.20376966,136.9815269
1644,守山西中学校,モリヤマニシチュウガッコウ,地下式給水栓,名古屋市守山区,新守町５８番地,35.20723597,136.9535417
1645,守山中学校,モリヤマチュウガッコウ,地下式給水栓,名古屋市守山区,大屋敷１３－６３,35.20277612,136.9674609
1646,吉根中学校,キッコチュウガッコウ,地下式給水栓,名古屋市守山区,笹ヶ根２－１０２,35.23282839,137.0029496
1684,桜山中学校,サクラヤマチュウガッコウ,地下式給水栓,名古屋市昭和区,池端町１－１５,35.14379946,136.9306504
1685,東陵中学校,トウリョウチュウガッコウ,地下式給水栓,名古屋市緑区,東陵1353番地,35.07108764,136.9721334
1686,久方中学校,ヒサカタチュウガッコウ,地下式給水栓,名古屋市天白区,久方三丁目１６３,35.10472934,136.9820306
1687,振甫中学校,シンポチュウガッコウ,地下式給水栓,名古屋市千種区,北千種1-7-1,35.18001718,136.9421618
1688,東星中学校,トウセイチュウガッコウ,地下式給水栓,名古屋市千種区,星が丘山手105,35.16091651,136.9795787
1724,富田公園,トミタコウエン,仮設給水栓,名古屋市中川区,富田町大字春田字鍋鶴,35.14728073,136.8129538
1725,万場大橋緑地,マンバオオハシリョクチ,仮設給水栓,名古屋市中川区,伏屋一丁目,35.14418881,136.8300566
1784,東撞木公園,ヒガシシュモクコウエン,仮設給水栓,名古屋市東区,代官町一丁目,35.179088,136.925243
1785,北江公園,キタエコウエン,仮設給水栓,名古屋市中川区,北江町三丁目,35.126944,136.866282
1804,西柳公園,ニシヤナギコウエン,仮設給水栓,名古屋市中村区,名駅四丁目,35.169075,136.887384
1844,白川公園（北東）,シラカワコウエン（ホクトウ）,仮設給水栓,名古屋市中区,栄二丁目,35.16522,136.90175
1845,荒子公園（南西）,アラココウエン（ナンセイ）,仮設給水栓,名古屋市中川区,荒子二丁目,35.137814,136.857202
1846,白水公園（北東）,ハクスイコウエン（ホクトウ）,仮設給水栓,名古屋市南区,白水町,35.076284,136.905249
1885,甚目寺小学校,ジモクジショウガッコウ,地下式給水栓,あま市,甚目寺寺西４０,35.195135,136.820729
1886,甚目寺南中学校,ジモクジミナミチュウガッコウ,地下式給水栓,あま市,本郷八尻６,35.189452,136.829331
1887,大治小学校,オオハルショウガッコウ,地下式給水栓,海部郡大治町,堀之内南二反畑６０６,35.175639,136.820955
1888,大治西小学校,オオハルニシショウガッコウ,地下式給水栓,海部郡大治町,大字西條字松下１００,35.180895,136.812755
1925,新川小学校,シンカワショウガッコウ,地下式給水栓,清須市,須ケ口1239,35.199759,136.852495
1926,西枇杷島小学校,ニシビワジマショウガッコウ,地下式給水栓,清須市,西枇杷島町住吉1,35.198585,136.864781
1927,古城小学校,コジョウショガッコウ,地下式給水栓,清須市,西枇杷島町城並2丁目2-1,35.208884,136.870946
1928,清洲小学校,キヨスショウガッコウ,地下式給水栓,清須市,清洲1013,35.214281,136.838095
1929,星の宮小学校,ホシノミヤショウガッコウ,地下式給水栓,清須市,阿原神門125,35.209335,136.856885
1930,大治南小学校,オオハルミナミショウガッコウ,地下式給水栓,海部郡大治町,砂子勇八前320,35.166494,136.818334
1931,甚目寺南小学校,ジモクジミナミショウガッコウ,地下式給水栓,あま市,中萱津西ノ川40,35.188066,136.829905
1932,甚目寺西小学校,ジモクジニシショウガッコウ,地下式給水栓,あま市,新居屋三反通11,35.198343,136.815645
1933,甚目寺東小学校,ジモクジヒガシショウガッコウ,地下式給水栓,あま市,西今宿六反割60-1,35.202736,136.825297
1934,清洲中学校,キヨスチュウガッコウ,地下式給水栓,清須市,一場695,35.220648,136.843433
1935,新川中学校,シンカワチュウガッコウ,地下式給水栓,清須市,須ケ口750,35.203601,136.846843
1936,大治中学校,オオハルチュウガッコウ,地下式給水栓,海部郡大治町,堀之内半之返791,35.176047,136.82683
1937,甚目寺中学校,ジモクジチュウガッコウ,地下式給水栓,あま市,甚目寺二伴田76,35.199516,136.82193
1985,上志段味小学校,カミシダミショウガッコウ,地下式給水栓,名古屋市守山区,上志段味大塚,35.25139,137.042302
1986,西枇杷島中学校,ニシビワジマチュウガッコウ,地下式給水栓,清須市,清須市西枇杷島町七畝割3-1,35.2004856,136.8592671
1987,清洲東小学校,キヨスヒガシショウガッコウ,地下式給水栓,清須市,清須市清洲2576,35.2131335,136.8420365
1988,桃栄小学校,トウエイショウガッコウ,地下式給水栓,清須市,清須市桃栄二丁目21,35.1970497,136.8404497
2025,森ヶ丘公園,モリガオカコウエン,仮設給水栓,あま市,森四丁目,35.2110557,136.810874
2026,名古屋上下水道総合サービス㈱,ナゴヤジョウゲスイドウソウゴウサービス,仮設給水栓,名古屋市熱田区,一番三丁目,35.1255651,136.8939933
2045,水道会館,スイドウカイカン,仮設給水栓,名古屋市中区,丸の内三丁目,35.17497772,136.9024111
2265,味鋺東公園,アジマヒガシコウエン,仮設給水栓,名古屋市北区,東味鋺二丁目1401,35.22151,136.937227
2300,上下水道局南部営業センター,ジョウゲスイドウキョクナンブエイギョウセンター,常設給水栓,名古屋市緑区,鳴海町小森45-1,35.1010255,136.9519883
