ID,施設名,施設名フリガナ,施設種別,区・町名,住所,緯度,経度
430,栄生小学校,サコウショウガッコウ,地下式給水栓,名古屋市西区,栄生一丁目,35.1841949,136.8758451
431,大野木小学校,オオノギショウガッコウ,地下式給水栓,名古屋市西区,大野木三丁目,35.21914652,136.896235
432,米野小学校,コメノショウガッコウ,地下式給水栓,名古屋市中村区,権現通1丁目,35.16369048,136.8773006
433,豊臣小学校,トヨトミショウガッコウ,地下式給水栓,名古屋市中村区,森末町2丁目,35.17757926,136.861315
434,星槎名古屋中学校,セイサナゴヤチュウガッコウ,地下式給水栓,名古屋市中村区,名駅南四丁目,35.15984521,136.88857
435,平和小学校,ヘイワショウガッコウ,地下式給水栓,名古屋市中区,平和一丁目,35.14894862,136.9046731
436,新栄小学校,シンサカエショウガッコウ,地下式給水栓,名古屋市中区,新栄三丁目,35.16799989,136.9251693
437,老松小学校,オイマツショウガッコウ,地下式給水栓,名古屋市中区,千代田一丁目,35.16056069,136.9136507
438,千早小学校,チハヤショウガッコウ,地下式給水栓,名古屋市中区,新栄一丁目,35.16250131,136.917743
439,丸の内小学校,マルノウチショウガッコウ,地下式給水栓,名古屋市中区,丸の内三丁目,35.17724362,136.9036905
440,広路小学校,ヒロジショウガッコウ,地下式給水栓,名古屋市昭和区,川原通8丁目,35.15027549,136.9476036
441,松栄小学校,ショウエイショウガッコウ,地下式給水栓,名古屋市昭和区,長戸町2丁目,35.14500793,136.9392771
442,白金小学校,シラガネショウガッコウ,地下式給水栓,名古屋市昭和区,白金二丁目,35.14676175,136.9162747
443,八事小学校,ヤゴトショウガッコウ,地下式給水栓,名古屋市昭和区,五軒家町,35.14160268,136.9503769
444,中根小学校,ナカネショウガッコウ,地下式給水栓,名古屋市瑞穂区,井の元町,35.11440094,136.9549142
445,穂波小学校,ホナミショウガッコウ,地下式給水栓,名古屋市瑞穂区,河岸一丁目,35.11587863,136.9253907
446,大宝小学校,タイホウショウガッコウ,地下式給水栓,名古屋市熱田区,大宝三丁目,35.13074687,136.8934452
447,高蔵小学校,タカクラショウガッコウ,地下式給水栓,名古屋市熱田区,花町,35.13765675,136.9012328
448,白鳥小学校,シロトリショウガッコウ,地下式給水栓,名古屋市熱田区,白鳥二丁目,35.12461345,136.9063833
449,八幡小学校,ヤハタショウガッコウ,地下式給水栓,名古屋市中川区,八熊通5丁目,35.14036376,136.8845349
450,長須賀小学校,ナガスカショウガッコウ,地下式給水栓,名古屋市中川区,前田西町一丁目,35.14014743,136.8297145
451,愛知小学校,アイチショウガッコウ,地下式給水栓,名古屋市中川区,豊成町,35.15519317,136.8781894
452,稲永小学校,イナエイショウガッコウ,地下式給水栓,名古屋市港区,稲永四丁目,35.08537101,136.8579807
453,明徳小学校,メイトクショウガッコウ,地下式給水栓,名古屋市港区,小碓三丁目,35.11607516,136.8477826
454,福春小学校,フクハルショウガッコウ,地下式給水栓,名古屋市港区,春田野一丁目,35.11810673,136.8137218
455,菊住小学校,キクズミショウガッコウ,地下式給水栓,名古屋市南区,駈上一丁目,35.11344142,136.9384986
456,道徳小学校,ドウトクショウガッコウ,地下式給水栓,名古屋市南区,道徳新町5丁目,35.10218664,136.9064297
457,守山小学校,モリヤマショウガッコウ,地下式給水栓,名古屋市守山区,西島町,35.20054857,136.9648741
458,大森小学校,オオモリショウガッコウ,地下式給水栓,名古屋市守山区,大森四丁目,35.20466868,136.9986999
459,桃山小学校,モモヤマショウガッコウ,地下式給水栓,名古屋市緑区,桃山四丁目,35.10262733,136.986971
460,大高小学校,オオダカショウガッコウ,地下式給水栓,名古屋市緑区,大高町字南大高畑,35.06271941,136.9368247
461,猪高小学校,イタカショウガッコウ,地下式給水栓,名古屋市名東区,丁田町,35.17705193,137.0051374
462,名東小学校,メイトウショウガッコウ,地下式給水栓,名古屋市名東区,亀の井三丁目,35.16455551,137.0045756
463,相生小学校,アイオイショウガッコウ,地下式給水栓,名古屋市天白区,境根町,35.1074978,136.9739415
464,山根小学校,ヤマネショウガッコウ,地下式給水栓,名古屋市天白区,山根町,35.11187734,136.9734466
465,天白小学校,テンパクショウガッコウ,地下式給水栓,名古屋市天白区,池場二丁目,35.1217302,136.9823132
